name,year,paper title,co-authors,gender,Morrocan affiliation 
Samy Bengio,2023,Transformers learn through gradual rank increase,"Emmanuel Abbe, Enric Boix-Adsera, Etai Littwin, Joshua Susskind",male,no
Samy Bengio,2022,"Learning to Reason with Neural Networks: Generalization, Unseen Data and 
Boolean Measures","Emmanuel Abbe, Elisabetta Cornacchia, Jon Kleinberg, Aryo Lotfi, 
Maithra Raghu, Chiyuan Zhang",male,no
Samy Bengio,2021,"Improving Anytime Prediction with Parallel Cascaded Networks and a 
Temporal-Difference Loss","Michael Iuzzolino, Michael C. Mozer",male,no
Samy Bengio,2021,Learnable Fourier Features for Multi-dimensional Spatial Positional Encoding,"Yang Li, Si Si, Gang Li, Cho-Jui Hsieh",male,no
Samy Bengio,2020,Memory Based Trajectory-conditioned Policies for Learning from Sparse Rewards ," Yijie Guo, Jongwook Choi, Marcin Moczulski, Shengyu Feng, 
 Mohammad Norouzi, Honglak Lee",male,no
Samy Bengio,2019,Transfusion: Understanding Transfer Learning for Medical Imaging ,"Maithra Raghu, Chiyuan Zhang, Jon Kleinberg",male,no
Samy Bengio,2018,Content preserving text generation with attribute controls,"Lajanugen Logeswaran, Honglak Lee",male,no
Samy Bengio,2018,Insights on representational similarity in neural networks with canonical correlation ," Ari Morcos, Maithra Raghu",male,no
Samy Bengio,2018,Large Margin Deep Networks for Classification,"Gamaleldin Elsayed, Dilip Krishnan, Hossein Mobahi, Kevin Regan",male,no
Samy Bengio,2016,Reward Augmented Maximum Likelihood for Neural Structured Prediction,"Mohammad Norouzi,, zhifeng Chen, Navdeep Jaitly, Mike Schuster,
 Yonghui Wu, Dale Schuurmans",male,no
Samy Bengio,2016,Can Active Memory Replace Attention?,"Łukasz Kaiser,",male,no
Samy Bengio,2016,An Online Sequence-to-Sequence Model Using Partial Conditioning ,"Navdeep Jaitly, Quoc V. Le, Oriol Vinyals, Ilya Sutskever, 
David Sussillo",male,no
Samy Bengio,2015,Scheduled Sampling for Sequence Prediction with Recurrent Neural Networks," Oriol Vinyals, Navdeep Jaitly, Noam Shazeer
",male,no
Samy Bengio,2010,Label Embedding Trees for Large Multi-Class Tasks,"Jason Weston, David Grangier
",male,no
Samy Bengio,2009,An Online Algorithm for Large Scale Image Similarity Learning ,"Gal Chechik, Uri Shalit, Varun Sharma",male,no
Samy Bengio,2009,Group Sparse Coding ,"Fernando Pereira, Yoram Singer, Dennis Strelow
",male,no
Samy Bengio,2005,A Probabilistic Interpretation of SVMs with an Application to Unbalanced Classification,"Yves Grandvalet, Johnny Mariethoz",male,no
